AccID	138011N	138011T	138228N	138228T	138239N	138239T
HTR2C	0	0	0	0	0	0
HTR2A	0	0	0	3	0	0
HCFC1-AS1	0	0	0	0	0	0
MBL2	376	257	664	14	184	75
HTR3E	0	0	0	0	0	0
VPS13C	3009	1847	2362	7103	3759	1637
VPS13D	1869	1488	1888	2318	1656	1056
DHPS	188	242	183	270	198	213
VPS13A	1560	1662	1311	1081	1924	557
HTR3C	0	0	0	0	0	0
VPS13B	1388	1147	878	1869	1338	782
HTR3D	0	0	0	0	0	0
HTR3A	0	0	0	0	1	2
HTR3B	0	3	0	1	0	0
CD24P4	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
CD24P2	0	0	0	0	0	0
LOC257396	2	2	3	2	1	2
KCNQ5-IT1	0	0	0	0	0	0
IL2RG	138	14	38	310	101	81
CYP4A27P	0	0	0	0	0	0
LOC727884	0	0	0	0	0	0
OR7E55P	0	0	0	0	0	0
OR7E53P	0	0	0	0	0	0
GPKOW	79	161	118	277	104	479
TRDJ2	0	0	0	0	0	0
TRDJ3	0	0	0	0	0	0
TRDJ1	0	0	0	0	2	0
HTR5A	0	0	0	0	0	0
IL2RA	7	0	20	27	19	7
ANKRD62P1-PARP4P3	0	0	0	0	0	0
TRDJ4	0	0	0	0	0	0
IL2RB	45	5	88	188	89	52
CYP4A26P	0	0	0	0	0	0
LOC727896	0	0	0	0	1	0
RNU7-9P	0	0	0	0	0	0
OR2AH1P	0	0	0	0	0	0
PEX26	60	87	56	59	40	379
IL36A	0	0	0	0	0	0
IL36B	0	0	0	0	0	0
LOC100506985	8	9	5	0	7	0
OR7E43P	0	0	0	0	0	0
RNU7-8P	0	0	0	0	0	0
ZNF542P	25	38	36	40	45	37
CRISPLD1	11	0	9	4	26	1
CRISPLD2	124	46	30	65	56	55
LOC100506974	4	0	8	0	6	0
LOC727874	0	0	0	0	0	0
DHX8	269	261	316	757	329	903
DHX9	899	990	825	2322	1080	1049
LOC727838	0	0	0	0	0	0
LOC390282	0	0	0	0	0	0
MC2R	0	0	0	0	0	0
STK25P1	0	0	0	0	0	0
OR7E47P	0	0	0	0	0	0
SLC10A4	0	0	0	0	0	2
SLC10A5	3	8	3	0	3	0
SLC10A6	2	6	0	0	1	1
SLC10A7	76	39	66	74	100	18
TRDV2	1	0	0	0	0	0
TRDV3	0	0	0	0	0	0
SLC10A1	855	1127	1163	3	890	7
SLC10A2	1	0	0	0	0	0
TRDV1	0	0	0	1	2	0
SLC10A3	10	2	2	13	0	25
IL36G	0	0	0	0	0	0
LOC100506990	14	11	11	17	10	25
PEX5L	0	0	1	2	0	0
MC1R	1	0	0	7	0	13
LOC101805491	0	0	0	0	0	0
LOC100506999	0	0	0	0	0	0
OR7E46P	0	0	0	0	0	0
LOC105376380	0	0	0	0	0	0
LOC101927801	0	0	0	0	0	0
OR3A4P	0	0	0	0	0	0
LOC150596	0	0	0	1	0	0
RNU7-5P	0	0	0	0	0	0
MC4R	0	0	0	0	0	0
LOC105376386	0	0	0	0	0	0
LOC105376387	3	0	0	1	0	0
LOC105376388	0	0	0	0	0	1
LOC105376381	0	0	0	0	0	0
LOC105376382	0	0	0	0	0	0
LOC400043	2	0	1	0	0	2
LOC105376383	1	0	0	0	0	0
LOC105376384	1	1	0	2	0	0
LOC101927809	6	4	5	7	5	4
ZHX2	22	9	20	51	12	97
ZHX3	22	34	25	8	22	43
LOC101927814	0	0	0	0	0	0
LOC101927811	0	0	0	0	0	0
CSRP2P1	0	0	0	0	0	0
CACYBP	91	271	156	403	184	354
MLECP1	0	0	0	0	0	0
RNU7-4P	0	0	0	0	0	0
ZHX1	51	44	51	31	43	175
RNF144A	12	3	6	106	8	20
RNF144B	106	88	86	76	110	135
MC3R	0	0	0	0	0	0
LOC105376374	0	0	0	0	0	0
LOC101927817	0	0	0	0	0	0
LOC105376375	0	0	0	0	0	0
LOC101927815	0	0	1	0	3	0
LOC105376370	0	0	0	0	0	0
LOC105376371	0	0	0	0	0	0
LOC105376372	0	0	0	0	0	0
LOC105376373	0	0	0	0	0	0
LOC101927824	0	0	0	1	0	0
LOC101927825	3	0	0	6	0	0
LOC101927822	0	1	0	0	0	0
LOC101927823	0	0	0	0	0	0
RNU7-7P	0	0	0	0	0	0
TRK-TTT2-1	0	0	0	0	0	0
LOC400061	0	0	0	0	0	0
LOC101927829	0	1	0	0	0	0
LOC101927827	0	0	0	0	0	0
LOC727803	0	0	0	0	0	0
PEX16	75	154	60	121	63	426
LOC105376390	0	0	0	0	0	0
PEX19	350	826	499	313	599	1085
LOC105376391	0	0	0	0	0	0
LOC101927830	1	3	0	1	0	0
LOC101927835	0	0	0	0	0	0
LOC101927834	0	0	2	1	2	0
MT2P1	0	0	0	0	0	0
RNU7-6P	0	0	0	0	0	0
PEX10	18	16	21	74	9	49
PEX12	13	6	6	18	4	20
PEX13	109	138	131	102	127	52
PEX14	59	91	79	67	47	94
MC5R	0	0	0	0	0	0
LOC105376396	0	0	0	0	0	0
LOC101927839	0	0	0	0	0	0
LOC105376397	0	0	0	0	0	0
LOC105376398	0	0	0	0	0	0
LOC101927837	2	4	0	1	0	1
LOC105376399	0	0	0	0	0	0
LOC105376392	0	0	0	0	0	0
LOC105376394	0	0	0	0	0	0
LOC105376395	0	0	0	0	0	0
LOC101927843	19	12	10	0	8	0
LOC101927840	0	0	0	0	0	0
RN7SL559P	0	0	0	0	0	0
LOC101927846	0	0	0	0	0	0
LOC101927847	0	0	0	0	0	0
LOC101927844	3	0	0	0	0	0
LOC101927845	0	0	0	0	0	0
INPPL1	340	534	346	1150	325	1324
IGF1R	113	35	56	109	100	81
LOC105376349	0	0	0	0	0	0
LOC105376345	0	0	0	0	0	0
PPIP5K1	17	38	15	33	19	36
PPIP5K2	606	643	508	468	602	230
LOC105376346	0	0	0	0	0	0
MIR6129	0	0	0	0	0	0
LOC105376348	0	0	0	0	0	0
MIR6127	0	0	0	0	0	0
LOC105376341	0	0	0	0	0	0
TRV-TAC1-1	0	0	0	0	0	0
LOC105376342	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0
TRV-TAC1-2	0	0	0	0	0	0
MIR6125	0	0	0	0	0	0
LOC105376344	0	0	0	0	0	0
LOC101927849	0	0	0	0	0	0
MIR6126	0	0	0	0	0	0
MIR6124	0	0	0	0	0	0
LOC105376340	0	0	0	0	0	0
LOC101927854	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
LOC101927851	3	17	5	2	1	10
SNORA59B	0	0	0	0	0	0
LOC101927857	0	0	0	0	0	0
RN7SL558P	0	0	0	0	0	0
NMTRV-TAC1-1	0	0	0	0	0	0
LOC101927858	0	1	3	1	2	2
LOC389249	0	0	0	0	0	0
LOC101927855	0	0	0	3	1	0
LOC389247	0	0	0	1	0	5
NDFIP2-AS1	0	0	0	0	0	0
DHDDS	68	137	75	192	66	140
LOC105376339	0	0	0	0	0	0
LOC105376334	0	0	0	0	0	0
LOC105376335	0	0	0	0	0	0
LOC91548	0	0	0	0	0	0
RNU6-649P	0	0	0	0	0	0
LOC105376331	0	0	0	0	0	0
LOC105376332	0	1	0	1	0	0
LOC101927859	0	0	0	0	0	0
LOC105376333	1	0	0	0	0	0
RBMS2P1	0	0	0	0	0	0
LOC101927864	0	0	0	3	0	0
LOC101927865	1	1	0	5	0	5
LOC101927863	0	0	0	0	2	0
LOC101927869	0	0	0	0	0	0
RN7SL557P	0	0	0	0	0	0
HTRA3	7	0	4	51	5	50
LOC101927866	0	0	0	0	0	0
HTRA4	0	1	0	7	0	4
HTRA1	339	225	633	553	220	419
HTRA2	34	46	47	116	45	90
RNU7-3P	0	0	0	0	0	0
LOC105376367	0	0	0	0	0	0
LOC105376368	0	0	0	0	0	0
LOC105376369	0	0	0	0	0	0
LOC105376363	0	5	0	0	0	0
LOC105376364	0	0	0	0	0	0
LOC105376365	0	0	0	0	0	0
LOC105376360	0	8	0	0	0	0
LOC105376361	0	0	0	0	0	0
LOC101927876	0	0	0	0	0	0
LOC101927879	1	0	0	0	2	0
HULC	25	146	64	5	34	18
RN7SL556P	0	0	0	0	0	0
LOC101927877	0	0	0	0	0	0
ZNF350-AS1	0	0	0	0	0	0
CHCHD10	10	1	3	0	2	18
LOC101927871	0	0	0	0	0	0
LOC101927872	0	0	0	0	0	0
RNU7-2P	0	0	0	0	0	0
IGF2R	1766	4614	2637	3375	2388	8070
LOC101927870	2	0	0	0	2	0
LOC105376356	0	0	0	0	0	0
OR7M1P	0	0	0	0	0	0
LOC105376357	0	0	0	0	0	0
LOC105376358	0	0	0	0	0	0
LOC105376352	0	0	0	0	0	0
LOC105376353	0	0	0	0	0	0
LOC105376354	0	0	0	0	0	0
LOC105376350	0	0	0	0	0	0
LOC105376351	0	0	0	0	0	0
LOC101927884	0	0	0	0	0	0
LOC101927888	0	0	0	0	0	0
RN7SL555P	0	0	0	0	0	0
LOC101927882	0	0	0	0	0	0
LOC101927880	0	0	0	0	3	0
LOC101927881	0	0	0	0	0	0
LOC105376306	0	0	0	0	0	0
LOC105376308	0	0	0	0	0	0
LOC105376301	0	0	0	0	1	0
ZIC2	0	1	0	0	0	16
LOC105376302	0	0	0	0	0	0
ZIC3	0	0	0	0	0	0
LOC105376304	0	0	0	0	0	0
ZIC1	1	4	0	82	2	0
RNU6-646P	0	0	0	0	0	0
LOC105376300	0	0	0	0	1	0
TMEM189-UBE2V1	23	49	30	85	25	69
MIR6165	0	0	0	0	0	0
LOC101927897	0	0	0	0	0	0
LOC101927898	0	0	0	0	0	0
LOC101927895	2	1	0	1	0	2
LOC101927896	6	2	1	3	0	0
HUNK	14	0	5	211	6	26
LOC101927890	0	0	0	0	0	0
RBM48P1	0	0	0	0	0	0
RN7SL554P	0	0	0	0	0	0
RNU6-645P	0	0	0	0	0	0
LOC105376327	0	0	0	1	0	0
LOC105376328	0	0	0	0	0	0
LOC105376323	0	0	0	1	0	0
RNU6-648P	0	0	0	0	0	0
LOC105376325	0	0	3	0	4	0
LOC105376326	0	0	0	1	0	6
CLVS2	0	12	0	0	0	0
LOC105376320	0	0	0	0	0	0
RN7SL553P	0	0	0	0	0	0
LOC105376322	0	0	0	0	0	0
CLVS1	0	20	0	0	0	0
MIR6130	0	0	0	0	0	0
MIR6131	0	0	0	0	0	0
ZIC4	0	0	0	8	0	0
ZIC5	0	0	0	0	0	1
LOC105376316	0	0	0	0	0	0
LOC105376317	0	0	0	0	0	0
LOC105376318	0	0	0	0	0	0
LOC105376319	0	1	0	0	0	1
LOC390250	0	0	0	0	0	0
LOC390251	0	0	0	0	0	0
LOC105376313	0	0	0	0	0	0
RNU6-647P	0	0	0	0	0	0
LOC105376314	0	0	0	0	0	0
LOC390255	0	0	0	0	0	0
LOC105376310	0	0	0	0	0	0
RN7SL552P	0	0	0	0	0	0
LOC105376311	0	1	0	0	5	2
LOC389273	0	0	0	0	0	0
MIR6134	0	0	0	0	0	0
MIR6132	0	0	0	0	0	0
MNX1-AS1	0	0	0	0	0	0
MIR6133	0	0	0	0	0	0
MNX1-AS2	0	0	0	0	0	0
RPL36AP13	0	0	0	0	0	0
RPL36AP14	0	0	0	0	0	0
RPL36AP11	0	0	0	0	0	0
RPL36AP12	0	0	0	0	0	0
RPL36AP17	0	0	0	0	0	0
RPL36AP18	0	0	0	0	0	0
RPL36AP15	0	0	0	0	0	0
RPL36AP16	0	0	0	0	0	0
RPL36AP19	0	0	0	0	0	0
LOC105376504	0	0	0	2	0	1
LOC105376505	0	0	0	4	0	0
LOC105376506	0	0	2	1	0	0
LOC105376500	0	0	0	0	0	0
SCN11A	16	4	2	1	7	0
RNU6-666P	0	0	0	0	0	0
RN7SL575P	0	0	0	0	0	0
RPL36AP20	0	0	0	0	0	0
RPL36AP21	0	0	0	0	0	0
RPL36AP24	0	0	0	0	0	0
RPL36AP25	0	0	0	0	0	0
RPL36AP23	0	0	0	0	0	0
SSTR5-AS1	0	0	0	0	0	14
RPL36AP28	0	0	0	0	0	0
RPL36AP29	0	0	0	0	0	0
RPL36AP26	0	0	0	0	0	0
RPL36AP27	0	0	0	0	0	0
HUS1	94	129	107	120	138	100
SCN10A	0	0	0	0	0	0
RNU6-665P	0	0	0	0	0	0
SRFBP1	38	50	50	54	37	46
RN7SL574P	0	0	0	0	0	0
SNORA50A	0	0	0	0	0	0
RPL36AP31	0	0	0	0	0	0
RPL36AP32	0	0	0	0	0	0
SNORA50C	0	0	0	0	0	0
RPL36AP30	0	0	0	0	0	0
TRX-CAT1-3	0	0	0	0	0	0
TRX-CAT1-4	0	0	0	0	0	0
TRX-CAT1-5	0	0	0	0	0	0
TRX-CAT1-6	0	0	0	0	0	0
TRX-CAT1-1	0	0	0	0	0	0
TRX-CAT1-2	0	0	0	0	0	0
TRX-CAT1-7	0	0	0	0	0	0
TRX-CAT1-8	0	0	0	0	0	0
LOC105376525	0	0	0	0	0	0
RRP7A	70	105	84	155	65	988
LOC105376526	1	0	0	0	0	0
LOC105376527	0	0	0	0	0	0
LOC105376528	0	0	0	0	0	0
RNU6-668P	0	0	0	0	0	0
LOC105376520	0	0	0	0	0	0
RN7SL573P	0	0	0	0	0	0
C3orf18	20	20	14	7	11	19
MCAM	161	161	64	1746	108	847
C3orf14	9	8	5	51	12	3
LOC105376507	0	0	0	0	0	0
LOC105376508	0	0	0	0	0	0
MCAT	14	14	11	13	13	48
LOC105376509	0	0	0	0	0	0
LOC105376514	10	3	2	9	1	1
ZNF559-ZNF177	9	2	5	27	6	7
LOC105376516	0	0	0	0	0	0
LOC105376517	0	0	0	0	1	0
OR10AH1P	0	0	0	0	0	0
LOC105376512	0	0	0	0	0	1
LOC105376513	0	0	0	0	0	0
RNU6-667P	0	0	0	0	0	0
RPL36AP10	0	0	0	0	0	0
MOCS2	154	265	226	85	210	83
MOCS3	0	0	0	0	0	0
MCEE	14	5	10	9	13	0
FGD5-AS1	53	42	26	74	38	35
TRV-TAC3-1	0	0	0	0	0	0
RRP12	59	136	133	229	128	2055
RNU6-662P	0	0	0	0	0	0
RN7SL571P	0	0	0	0	0	0
RRP15	12	24	21	57	22	60
ZIK1	3	0	1	12	1	9
CT45A10	0	0	0	0	0	0
MIR4659A	0	0	0	0	0	0
MIR4659B	0	0	0	0	0	0
RNU6-661P	0	0	0	0	0	0
MOCS1	175	233	204	152	145	140
RN7SL570P	0	0	0	0	0	0
TRBV12-1	0	0	0	0	0	0
TRBV12-2	0	0	0	0	0	0
TRBV12-3	0	0	0	0	0	0
TRBV12-4	0	0	0	0	0	0
TRBV12-5	0	0	0	0	0	0
RASSF10	0	0	0	0	0	0
MINOS1	73	45	30	107	26	62
RRP36	46	71	80	118	69	115
PAIP2	204	265	215	175	253	118
ZIM2	16	1	5	5	19	4
RNU6-664P	0	0	0	0	0	0
PAIP1	379	616	388	683	441	216
ZIM3	0	0	0	0	0	0
ARHGEF9-IT1	0	0	0	0	0	0
MCF2	3	2	5	10	3	0
MOCOS	137	222	306	251	177	281
RRP1B	97	160	146	271	162	492
LOC100134868	2	0	0	3	2	6
HERC2P10	0	0	0	1	0	0
HERC2P11	0	0	0	0	0	0
RNASEH2CP1	0	0	0	0	0	0
RBMS1P1	0	0	0	0	0	0
RNU6-663P	0	0	0	0	0	0
DNM3OS	20	2	11	5	9	0
MT1DP	1	0	7	0	0	0
LOC400002	0	0	0	0	0	0
DIO1	333	880	701	5	548	43
DIO2	0	4	0	0	0	1
DIO3	0	0	0	1	0	0
FAM91A1	458	466	466	672	615	692
MT1CP	3	0	0	0	2	0
TBCAP1	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
TBCAP3	0	0	0	0	0	0
PMM2P2	0	0	0	0	0	0
LOC100506929	0	0	0	0	0	0
OR7E62P	0	0	0	0	0	0
PMM2P1	0	0	0	0	0	0
CD300LB	0	3	0	0	2	0
CD300LD	0	0	0	0	0	0
LOC100506922	0	0	2	13	7	11
CD300LF	9	4	10	45	8	24
CD300LG	2	0	1	0	0	0
MCL1	235	300	211	460	460	1408
LOC400026	0	0	0	0	0	0
SRSF10P1	0	0	0	0	0	0
SRSF10P2	0	0	0	0	0	0
GLUD1P3	0	0	1	6	0	1
LOC400036	0	0	0	0	0	0
GLUD1P4	0	0	0	0	0	0
GLUD1P5	0	0	0	0	0	0
LOC100506911	0	0	0	0	0	0
GLUD1P7	0	0	3	6	1	1
GLUD1P8	2	3	2	1	2	1
GLUD1P9	0	0	0	0	0	0
OSCP1	7	9	11	61	7	12
RPL36AP55	0	0	0	0	0	0
MCM7	231	402	219	934	223	1296
COL14A1	1897	385	364	997	1241	281
MCM8	42	113	54	280	76	93
LOC100506946	0	0	0	0	0	0
MCM9	87	84	83	104	86	82
SRIP1	0	0	0	0	0	0
SRIP2	0	0	0	0	0	0
SRIP3	0	0	0	0	0	0
CEP170B	164	460	240	712	215	831
GGPS1	30	11	16	74	25	21
DIS3	394	562	372	502	510	143
LOC100506937	0	0	0	0	0	0
MCM3	132	272	225	1419	199	1002
ST20-MTHFS	23	36	37	13	22	23
MCM4	85	229	111	906	109	600
MCM5	104	301	200	673	127	1907
MCM6	111	160	119	783	141	212
MCM2	32	83	60	694	18	552
RPL36AP35	0	0	0	0	0	0
RPL36AP36	0	0	0	0	0	0
RPL36AP33	0	0	0	0	0	0
RPL36AP34	0	0	0	0	0	0
RPL36AP39	0	0	0	0	0	0
RPL36AP37	0	0	0	0	0	0
RPL36AP38	0	0	0	0	0	0
BUB3P1	0	0	0	0	0	0
IL21R	11	1	7	69	6	5
RPL36AP42	0	0	0	0	0	0
RPL36AP43	0	0	0	0	0	0
RPL36AP40	0	0	0	0	0	0
RPL36AP41	0	0	0	0	0	0
RPL36AP46	0	0	0	0	0	0
RPL36AP47	0	0	0	0	0	0
ITGA9-AS1	12	11	6	13	3	6
RPL36AP44	0	0	0	0	0	0
RPL36AP45	0	0	0	0	0	0
PEX12P1	0	0	0	0	0	0
RPL36AP48	0	0	0	0	0	0
RPL36AP49	0	0	0	0	0	0
MAB21L3	1	14	2	2	2	1
MAB21L1	0	0	0	0	0	0
LIFR-AS1	1	0	0	2	0	0
MAB21L2	0	0	0	0	0	0
RPL36AP50	0	0	0	0	0	0
LOC100506955	0	0	0	0	0	0
RPL36AP53	0	0	0	0	0	0
RPL36AP54	0	0	0	0	0	0
RPL36AP51	0	0	0	0	0	0
RPL36AP52	0	0	0	0	0	0
OR7E66P	0	0	0	0	0	0
IL1RN	10	42	46	6	29	60
LOC100506869	0	0	0	0	0	0
IL23R	13	0	3	1	8	0
OSBPL9P5	0	0	0	0	0	0
OSBPL9P6	0	0	0	0	0	0
CALR4P	0	0	0	0	0	0
OSBPL9P1	0	0	0	0	0	0
OSBPL9P2	0	0	0	0	0	0
OSBPL9P3	0	0	0	0	0	0
OSBPL9P4	0	0	0	0	0	0
LOC727980	0	0	0	0	0	0
TRK-TTT1-1	0	0	0	0	0	0
LOC100506860	0	0	0	0	0	2
NDUFS5P7	0	0	0	0	0	0
LOC100506858	0	0	0	0	0	0
IL1R1	699	380	464	799	598	106
IL1R2	25	26	27	35	14	10
MIR133A1HG	0	0	0	0	0	0
LOC727993	0	0	0	0	0	0
IL23A	1	0	1	7	0	0
NDUFS5P1	0	0	0	0	0	0
NDUFS5P2	0	0	0	0	0	0
OR3B1P	0	0	0	0	0	0
NDUFS5P3	0	0	0	0	0	0
NDUFS5P4	0	0	0	0	0	0
LOC100506851	0	0	0	0	0	0
NDUFS5P5	0	0	0	0	0	0
NDUFS5P6	0	0	0	0	0	0
LOC101927901	0	0	0	1	0	0
LOC101927902	1	0	1	8	1	2
SH2D2A	19	0	17	73	23	14
UBA6-AS1	8	5	3	8	4	2
OR2AI1P	0	0	0	0	0	0
OTUD4P1	0	0	0	0	0	0
MT1JP	4	0	0	0	1	0
AZIN1-AS1	15	7	5	14	4	19
LOC101927905	0	0	0	20	0	0
LOC101927904	0	0	0	0	0	0
OR7E59P	0	0	0	0	0	0
LOC101927907	0	0	0	0	0	0
LOC101927908	0	0	0	0	0	0
LOC100506885	0	0	0	0	0	0
LOC101927913	0	0	0	0	0	0
LOC101927911	0	0	0	0	0	0
SH2D1A	13	0	2	3	6	0
SH2D1B	2	1	4	0	5	0
MT1IP	0	0	0	0	0	0
LOC101927914	0	0	0	0	1	0
LOC727978	0	0	0	0	0	0
LOC101927915	0	0	0	0	0	0
LOC389199	0	0	0	0	0	0
LOC101927919	0	0	2	0	0	0
MRPS31P1	0	0	0	0	0	0
LOC101927923	0	1	0	0	0	1
LOC101927924	0	0	0	0	0	0
SIPA1L2	139	462	28	139	124	2495
MRPS31P4	2	0	1	0	1	0
SIPA1L3	98	317	109	790	119	978
MRPS31P5	31	20	35	12	31	13
MRPS31P2	3	0	0	2	3	0
SIPA1L1	386	359	417	612	422	181
IGHD2-21	0	0	0	0	0	0
LOC727944	0	0	0	0	0	0
LOC101927926	0	0	0	0	0	0
COX6CP18	0	0	0	0	0	0
COX6CP16	0	0	0	0	0	0
COX6CP17	0	0	0	0	0	0
LOC105376490	0	0	0	0	0	0
LOC101927934	0	0	1	0	2	6
LOC727947	0	0	0	0	0	0
COX6CP14	0	0	0	0	0	0
LOC101927935	0	0	0	4	0	0
COX6CP15	0	0	0	0	0	0
LOC101927932	1	0	1	2	1	0
COX6CP12	0	0	0	0	0	0
COX6CP13	0	0	0	0	0	0
SRSF11P1	0	0	0	0	0	0
COX6CP10	0	0	0	0	0	0
MT1P3	0	0	0	0	0	0
COX6CP11	0	0	0	0	0	0
MT1P1	0	0	0	0	0	0
LOC105376499	0	0	0	0	0	0
LOC105376495	0	0	0	0	0	0
LOC105376496	0	0	0	0	0	0
LOC105376497	0	0	0	0	0	0
LOC101927936	0	0	0	0	0	0
LOC105376498	0	0	0	0	0	0
LOC105376491	0	0	0	0	0	0
LOC105376493	0	0	0	0	0	0
LOC100506895	0	0	0	0	0	0
LOC105376494	0	0	0	0	0	0
RPS3AP9	0	0	0	0	0	0
AMER1	2	0	2	8	1	6
LOC727919	0	0	0	0	0	0
AMER2	0	0	0	0	0	0
LOC101927942	7	2	4	0	14	0
AMER3	0	0	0	0	0	0
RPS3AP5	0	0	0	0	0	0
RPS3AP6	0	0	0	0	0	0
RPS3AP7	0	0	0	0	0	0
LOC101927943	0	0	0	0	0	0
RPS3AP8	0	0	0	0	0	0
RPS3AP1	0	0	0	0	0	0
RPS3AP2	0	0	0	0	0	0
RPS3AP3	0	0	0	0	0	0
RPS3AP4	0	0	0	0	0	0
AGAP2-AS1	1	0	0	3	1	0
LOC101927949	0	0	0	0	0	0
LOC101927947	0	0	0	15	0	0
LOC101927948	0	0	0	0	0	0
LOC727924	0	1	0	0	0	0
LOC101927952	0	0	0	1	0	0
LOC101927950	0	0	0	0	0	0
LOC101927954	0	0	0	0	0	0
QPCT	7	1	5	28	7	28
IGHD2-15	0	0	0	0	0	0
LOC727930	0	0	0	3	1	2
SIPA1	174	74	141	359	149	669
LOC101927963	0	0	0	2	0	5
LOC101927964	0	0	0	0	0	0
SOCS2P2	0	0	0	0	0	0
LOC101927961	0	0	0	0	0	0
LOC101927967	0	0	0	1	0	2
LOC101927966	0	1	0	0	1	0
SOCS2P1	0	0	0	0	0	0
LOC101927960	1	30	0	0	1	0
C3orf67	16	38	8	56	8	7
LOC159007	0	0	0	0	0	0
LOC105376466	0	0	0	0	0	0
LOC105376467	0	0	0	0	0	0
C3orf62	12	8	1	5	7	7
LOC105376468	0	0	0	0	0	0
LOC105376462	0	0	0	0	0	0
LOC390101	0	0	0	0	0	0
LOC105376463	1	0	4	1	1	0
LOC101927969	3	0	3	0	3	0
LOC105376460	0	0	0	0	0	0
LOC105376461	0	0	0	0	0	0
LOC101927974	1	1	1	3	1	1
LOC101927975	0	0	0	1	0	0
IGHVII-33-1	0	0	0	0	0	0
LOC101927972	1	0	0	0	0	0
LOC101927973	6	1	3	3	1	0
LOC101927978	0	0	0	2	0	0
LOC101927979	2	0	4	11	3	5
LOC101927971	0	2	0	0	0	0
